title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Racing vintage style Streetwear embroidered ferrari Formula 1 jacket Y2K ,Clothing > Gender-Neutral Adult Clothing > Blazers,69.47,10,494,123,3,1586,27,"f1,jacket,ferrari,Formula 1,race,vintage jacket,y2k,nascar,racing,nascar jacket,coat,vintage",United States,2022-10-14,yes,no,no,HandRob,https://www.etsy.com/listing/1310764798/racing-vintage-style-streetwear
Formula 1 jacket racing vintage style Streetwear team red racing bull F1 Y2K embroidered ,Clothing > Gender-Neutral Adult Clothing > Blazers,75.59,8,282,44,0,655,33,"jacket,Formula 1,vintage,sport jacket,red bull,f1,red bull jacket,racing,fashion,motorcycle jacket,streetwear,women jacket",United States,2022-12-01,yes,no,no,HandRob,https://www.etsy.com/listing/1359701875/formula-1-jacket-racing-vintage-style
"Vintage Halloween Sweatshirt, Ghost Halloween Shirt for Women, Fall Shirts, Halloween Sweater ",Clothing > Women&#x27;s Clothing > Hoodies & Sweatshirts > Sweatshirts,12.99,8,256,71,1,815,7,"Funny Halloween,crewneck sweatshirt,halloween tshirt,halloween cat,floral halloween tee,retro halloween,pumpkin shirt,Cottagecore spooky,spooky witch,Trick or Treat tee,boho ghost shirt,Halloween Party,halloween costumes",United States,2023-06-24,yes,no,no,KennedyClaireCouture,https://www.etsy.com/listing/1509697847/vintage-halloween-sweatshirt-ghost
RED BARN TAHOE Jacket Oil Waxed Canvas Cotton Jacket-Slim Fit Vintage Style Waterproof Trucker Workwear Coat Aged Worn in ,Clothing > Men&#x27;s Clothing > Jackets & Coats,78.0,7,202,31,0,694,30,"waxed canvas,mens jacket,mens trucker,mens coat,waterproof canvas,vintage jacket,mens waxed canvas,mens vintage jacket,mens trucker jacket,gift for him,mens vest,Filson,Mens Jackets Coats",United States,2023-02-25,yes,no,no,RedBarnOutfitters,https://www.etsy.com/listing/1410919202/red-barn-tahoe-jacket-oil-waxed-canvas
"The Smiths T-Shirt, Vintage The Smiths Shirt, The Smiths Retro T-shirt, The Smiths Rock Band TShirt, 80s Rock Band Shirt, 90s Band Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,14.99,6,189,16,0,625,23,"The Smiths Shirt,The Smiths T Shirt,The Smiths Tshirt,The smiths tee,the smiths,morrissey shirt,johnny marr,country music shirt,concert t shirt,vintage band tee,Rock n roll clothing,The Smiths T-Shirt",United States,2023-03-21,yes,no,no,LightPrintStore,https://www.etsy.com/listing/1429454136/the-smiths-t-shirt-vintage-the-smiths
Vintage Balenciaga Distressed Tee ,Clothing > Men&#x27;s Clothing > Shirts & Tees > T-shirts,79.5,4,129,30,2,378,11,"Balenciaga,Oversize,S size,L size,T-Shirt,vintage,unisex,cotton,authentic,vintage t-shirt,vintage clothing,tshirt,New Tags",United States,2023-03-21,yes,no,no,Zonexe,https://www.etsy.com/listing/1429655250/vintage-balenciaga-distressed-tee
Vintage Formula 1 Racing Jacket Team - Unisex - Y2K Fully Embroidered ,Clothing > Gender-Neutral Adult Clothing > Jackets & Coats,62.5,4,207,22,2,371,14,"Biker gear gift idea,lgbtq present party,Rossi 46 streetwear,ferrari gift nascar,Red Bull Le Mans,Sports Racing Jacket,Formula 1 Event,Ferrari Fan Gift",United States,2023-05-02,yes,no,no,Vinnemu,https://www.etsy.com/listing/1459545032/vintage-formula-1-racing-jacket-team
Vintage Formula 1 Racing Jacket - Unisex Streetwear - Fully Embroidered - Y2K ,Clothing > Gender-Neutral Adult Clothing > Jackets & Coats,72.89,4,160,7,0,311,30,"Nascar Jacket,lgbtq present party,Red Bull Le Mans,Jack Daniels Bomber,Retro Vintage Jacket,Vintage Nascar Pilot",United States,2023-05-08,yes,no,no,Vinnemu,https://www.etsy.com/listing/1477491795/vintage-formula-1-racing-jacket-unisex
Vintage Balenciaga Distressed Tee ,Clothing > Men&#x27;s Clothing > Shirts & Tees > T-shirts,78.95,3,137,33,1,211,7,"Balenciaga,Oversize,S size,L size,T-Shirt,vintage,unisex,cotton,authentic,New Tags",United States,2023-03-22,yes,no,no,Zonexe,https://www.etsy.com/listing/1430427636/vintage-balenciaga-distressed-tee
"Custom Name Disneyy Game Day Baseball Jersey,Mickey And Friends Baseball Season Outfit For Baseball Fans,Matching Outfit For Baseball Lovers ",Clothing > Men&#x27;s Clothing > Sports & Fitness,27.9,1,149,20,1,101,0,"Birthday Jersey,Baseball Player,Baseball Mom,Custom Jersey,Baseball Shirt,Personalized Gift,Baseball Gift,Baseball Lovers,game day,game day tee,Mickey and Friends,Baseball Matching",United States,2023-02-07,yes,no,no,thehappymodernist,https://www.etsy.com/listing/1411990421/custom-name-disneyy-game-day-baseball
"Comfort Color Blast T shirt Blank, Vintage Color Washed Garment Dyed Soft Cotton Shirt, Blank Shirt Comfort Colors 1745, Mineral Wash Tshirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,11.2,0,114,14,0,74,2,"Color Blast Tee,Blank Cotton Shirts,Comfort Colors 1745,Blank TShirt,Blank Comfort Colors,1745 Color Blast,comfort colors tee,vintage look shirts,tye dye shirts,mineral washed shirt,vintage color shirts,Comfort Color Tshirt,tie dye look shirt",United States,2023-06-12,yes,no,no,UniqueCreationByJess,https://www.etsy.com/listing/1501652029/comfort-color-blast-t-shirt-blank
"Customize Mickey And Friends Game Day Baseball Jersey, Disneyy Baseball Player Outfit For Baseball Fans, Matching Outfit For Baseball Lovers ",Clothing > Men&#x27;s Clothing > Sports & Fitness,27.9,0,98,8,0,61,4,"Birthday Jersey,Baseball Player,Baseball Mom,Custom Jersey,Baseball Shirt,Personalized Gift,Baseball Gift,Baseball Lovers,game day,game day tee,Mickey and Friends,Baseball Matching",United States,2023-04-12,yes,no,no,thehappymodernist,https://www.etsy.com/listing/1445463964/customize-mickey-and-friends-game-day
Ferrari Vintage Racing Jacket Rare F1 Street Wear Bomber Jacket Y2K Embroidered Unisex Jacket Coat ,Clothing > Gender-Neutral Adult Clothing > Jackets & Coats,58.44,0,119,11,1,804,49,"Ferrari clothing,F1 racing jacket,Embroidered apparel,Long sleeve top,red f1 racing jacket,vintage jacket,nascar jacket,bomber jacket,formula 1 jacket,ups racing jacket,Statement Jacket,Bomber style",United States,2023-04-12,yes,no,no,IrelandByLindsay,https://www.etsy.com/listing/1445479800/ferrari-vintage-racing-jacket-rare-f1
Glow in the Dark ACID fishnet tights. Neon stockings. Rave pantyhose. Cosplay party diamond tights UV blacklight. Fluorescent hollow out ,Clothing > Women&#x27;s Clothing > Socks & Hosiery > Hosiery,13.99,0,16,15,0,1031,42,"techno music,neon fishnets,rave gift,neon outfit,Rave glow,glow in the dark,Electric outfit,Electronic music,Festival Outfit,halloween tights,halloween pantyhose,neon pantyhose,glowing pantyhose",United States,2023-06-08,yes,no,no,TheBovverShop,https://www.etsy.com/listing/1484698422/glow-in-the-dark-acid-fishnet-tights
Racing F1 Team Vintage Ferrari Formula 1 Jacket + Cap - Unisex Gift Idea - Y2K Fully embroidered ,Clothing > Gender-Neutral Adult Clothing > Jackets & Coats,71.94,0,181,25,0,304,7,"Formula 1 Jacket,Scuderia Ferrari cap,Vintage Ferrari,Racing Jacket,Ferrari Jacket,70s 80s 90s LGBTQ,Party Stag Hen do,Pit crew grand prix,F1 Nascar Redbull,Leclerc Sainz Speed,Rare Ferrari Cap,Retro Vintage Jacket",United States,2023-05-03,yes,no,no,RetroPutia,https://www.etsy.com/listing/1460250580/racing-f1-team-vintage-ferrari-formula-1
Vintage Balenciaga Distressed Tee ,Clothing > Men&#x27;s Clothing > Shirts & Tees > T-shirts,78.98,0,7,19,2,170,9,"Balenciaga,Oversize,S size,L size,T-Shirt,vintage,unisex,cotton,authentic,New Tags",United States,2023-05-25,yes,no,no,Zonexe,https://www.etsy.com/listing/1475519220/vintage-balenciaga-distressed-tee
"Vintage Saw Reverse Bear Trap movie promo tee, SAW Movie Vintage 90s T Shirt, Saw Horror Movie T Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,12.99,0,89,11,4,474,66,"fall halloween,Halloween Party Tee,friday the 13th,Scream Movie,classic horror,Killer Fan T-Shirt,Scary Movie Shirt,Horror Lover Gift,thriller Shirt,horror movie,90s Movie Crewneck,We All Go,Little Mad Sometimes",United States,2023-07-20,yes,no,no,PrayAndPraiseStore,https://www.etsy.com/listing/1527068405/vintage-saw-reverse-bear-trap-movie
Glow in the Dark PINK fishnet Tights. Neon mesh stockings. RAVE glowing pantyhose. Carnival tights UV blacklight. Fluorescent hollow out ,Clothing > Women&#x27;s Clothing > Socks & Hosiery > Hosiery,15.99,0,1,6,0,1154,112,"black light,techno music,neon fishnets,rave gift,neon outfit,Rave glow,glow in the dark,Electric outfit,Electronic music,Festival Outfit,Carnival tights,neon pantyhose,glowing pantyhose",United States,2023-07-05,yes,no,no,TheBovverShop,https://www.etsy.com/listing/1502573226/glow-in-the-dark-pink-fishnet-tights
"Vintage Dream Team (1992) NBA Unisex Tee Shirt, Shirt for Man Woman, Fan Gift, Vintage Basketball Shirt, 1992 usa basketball Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,12.99,0,57,10,1,133,15,"vintage shirt,92 dream team,Dream Team tshirt,Michael Jordan,Dream Team Shirt,NBA Basketball,Dream Team 1992,Dream Team tee,Vintage Dream Team,1992 usa basketball,1992 USA Dream Team,1992 jordan t shirt,nba dream team",United States,2023-06-29,yes,no,no,PrayAndPraiseStore,https://www.etsy.com/listing/1499136074/vintage-dream-team-1992-nba-unisex-tee
