title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Clear Stadium Bag - Clear Crossbody Purse - Customizable Stadium Bag - Clear Concert purse - Clear Crossbody Bag - Clear Bag - gameday purse ,Bags & Purses > Handbags > Crossbody Bags,18.0,91,1220,333,23,2368,81,"basketball purse,football purse,baseball purse,football bag,Stoney clover,patch bag,clear bag with patch,stadium purse,concert purse,clear bag,stadium bag",United States,2022-11-26,yes,no,no,BKLYNLNDN,https://www.etsy.com/listing/1355806307/clear-stadium-bag-clear-crossbody-purse
"Gifts, Mothers Day, Embroidery, Bridesmaid Gifts, Graduation, Gifts for Mom, Personalized Gifts, Pool Bag, Beach Bag, Graduation Gift ",Bags & Purses > Totes,18.8,86,498,79,5,742,30,"bridesmaid gift,Bridal Tote Bags,gift for her,embroidered tote bag,ironic boat tote,Gifts,Mothers Day,Embroidery,Bridesmaid Gifts,Graduation,Gifts for Mom,Personalized Gifts,Pool Bag",United States,2023-05-03,yes,no,no,ShopatBash,https://www.etsy.com/listing/1474001365/gifts-mothers-day-embroidery-bridesmaid
"Bento Box, Kids Personalized Silcone Bento Box, Kids Lunch Box, Christmas 2023 ",Bags & Purses > Food & Insulated Bags > Lunch Bags & Boxes,26.49,80,180,38,4,207,7,"bento box,bento box for kids,silicone bento box,bento lunch box,bento boxes,lunch box for kids,silicone lunch box,silicone bento,lunch box,kids bento box,personalized,lunchtime,kids,Christmas 2023,lunch,school,silicone",United States,2023-06-24,yes,no,no,RusticPeachGoods,https://www.etsy.com/listing/1509645353/bento-box-kids-personalized-silcone
Personalized backpack| Back to school | custom backpack | bookbags | personalized school bags| Christmas gift | gifts for kids ,Bags & Purses > Backpacks,67.15,77,1524,249,0,2131,9,"gift for kids,personalized gift,custom bags,custom backpacks,custom school bag,personalized bag,custom backpack,back to school,Stoney clover,school bags,school bag custom,personalized backpac",United States,2022-10-22,yes,no,no,ChicbabyStudio,https://www.etsy.com/listing/1316368648/personalized-backpack-back-to-school
"Personalized Leather Dopp Kit, Groomsmen Gift For Him, Anniversary Gifts For Men, Leather Toiletry Bag Birthday Gift For Dad Wedding Gift ",Bags & Purses > Cosmetic & Toiletry Storage > Toiletry Kits & Travel Cases,14.0,65,2625,606,14,1414,2,"groomsmen gifts,groomsman gift,fathers day gifts,gift for dad,gifts for him,personalized,dad gifts,gifts for dad,personalized gift,toiletry bag,Groomsmen Gift,Gift for Him,Birthday Gift,Leather Toiletry Bag,Gifts For Men,Anniversary Gift,Leather Dopp Kit,fathers day gift,wedding gifts,personalized gifts,gifts for husband,gifts for groomsmen",United States,2023-05-10,yes,no,no,PeraLeatherBag,https://www.etsy.com/listing/1464846342/personalized-leather-dopp-kit-groomsmen
"Leather Dopp Bag,Personalized Mens Toiletry Bag,Vegan Monogram Wash Bag With Name,Custom Shaving Kit,Wedding Travel Gift For Men,Husband,Him ",Bags & Purses > Cosmetic & Toiletry Storage > Toiletry Kits & Travel Cases,15.23,65,182,13,4,266,63,"dopp kit,Leather Toiletry Bag,Shaving Kit,leather dopp kit,travel gift,leather wash bag,For Him,Wedding travel gift,Shaving Bag,Gift for dad,wedding gift,Monogram Wash Bag,Engraved travel gift",United States,2023-07-12,yes,no,no,EpicOutdoor,https://www.etsy.com/listing/1507525202/leather-dopp-bagpersonalized-mens
"Metal Wallet Insert Card Gift for Husband or Boyfriend, Personalized Wallet Card for Military Deployment, Custom Anniversary Gift for Him ",Bags & Purses > Wallets & Money Clips > Wallets,10.0,64,697,177,11,1690,89,"wallet insert card,gift for him,anniversary gift,gift for husband,wallet card insert,gift for boyfriend,custom wallet card,engraved wallet card,boyfriend gift,metal wallet card,valentines day,military deployment,men birthday gift",United States,2023-01-12,yes,no,no,promenadefield,https://www.etsy.com/listing/1377396772/metal-wallet-insert-card-gift-for
Girls Personalized Name Handbag Daisy Flower First Purse School Bag Toddlers Kids Babies Spring Birthday Gift ,Bags & Purses > Handbags > Crossbody Bags,19.0,63,869,200,14,1423,71,"daisy sunglasses,sunglasses with name,flower glasses,flower girl proposal,baby girl sunglasses,sunglasses for beach,pastel sunglasses,stylish,summer shades,personalized bag,personalized purse",United States,2023-02-26,yes,no,no,heiunlimited,https://www.etsy.com/listing/1425720721/girls-personalized-name-handbag-daisy
"Custom Drawstring Bags, Personalized Name Drawstring Backpack, Lightweight Gym Bag, Yoga Bag, Workout Bag, Cinch Bag, Personalized gift ",Bags & Purses > Sports Bags > Team Sports & Gym Bags,5.95,52,288,78,9,121,6,"drawstring backpack,drawstring bags,drawstring gift,cute drawstring bags,large drawstring bag,kids drawstring bags,monogrammed backpack,Sports bag,cheer bag,cinch sack,bulk bags,custom cinch bag,drawstrings giftbags",United States,2023-03-31,yes,no,no,OEOSH,https://www.etsy.com/listing/1436930414/custom-drawstring-bags-personalized-name
Clear Stadium Bag - Clear Crossbody Purse - Customizable Stadium Bag - Clear Concert purse - Clear Crossbody Bag - Clear Bag - Clear Purse ,Bags & Purses > Handbags > Crossbody Bags,18.0,48,720,201,18,1526,49,"football purse,baseball purse,football bag,Stoney clover,patch bag,clear bag with patch,stadium purse,concert purse,clear purse,crossbody purse,clear bag,stadium bag",United States,2022-10-09,yes,no,no,BKLYNLNDN,https://www.etsy.com/listing/1321303877/clear-stadium-bag-clear-crossbody-purse
"Stadium Bag, Clear Stadium Bag, Clear Concert Purse, Clear Bag with Strap, Varsity Letter Patches, Adhesive Patches ",Bags & Purses > Cosmetic & Toiletry Storage > Cosmetic Bags,15.29,40,126,22,3,128,2,"bridesmaid gift,personalized,makeup bag,bridal party gift,varsity letter patch,Bridesmaid Proposal,Gift,Do It Yourself,patches,Summer Gift,Game Day Bag,Game Day Purse,Nylon Pouch with",United States,2023-06-24,yes,no,no,ShopatBash,https://www.etsy.com/listing/1510222025/stadium-bag-clear-stadium-bag-clear
"Custom Theme Park Fanny Pack for Kids Men Women and Family, Personalized Fanny Pack with Mouse Ears and Name, Stylish Metal Zipper ",Bags & Purses > Fanny Packs,8.49,40,474,64,1,257,3,"fanny packs,custom fanny pack,personalized fanny,mouse fanny pack,fanny pack group,family fanny pack,travel bag,kids fanny pack,birthday fanny pack,mouse ears fanny,mouse ears pouch,themepark bag,themepark gift",United States,2022-10-25,yes,no,no,natruyenshop,https://www.etsy.com/listing/1332452139/custom-theme-park-fanny-pack-for-kids
"Custom Game Day Seed Bead Strap, Personalized Camera Strap for Game Day, Customized Game Day School Cheer Beaded Camera Strap, School Strap ",Bags & Purses > Handbags > Crossbody Bags,90.0,39,90,11,2,236,32,"game day,Beaded Camera Strap,Beaded Purse Strap,Crossbody Strap,Seed Bead Strap,Custom Beaded Strap,Beaded Bag Strap,Custom Bag Strap,Custom Camera Strap,Game Day Purse Strap,Game Day Strap,Customized Strap,Custom Purse Strap",United States,2023-01-17,yes,no,no,PrettyRobesShop,https://www.etsy.com/listing/1395380641/custom-game-day-seed-bead-strap
